#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.27626,         16,          0,          0, (null)
   0.27924,         32,          0,          0, (null)
  37.46429,         32,          1,          0, /master/1kb-sample-file-1.html
  42.69942,       1105,          1,          0, (null)
  42.70703,       1105,          2,          0, /master/1kb-sample-file-2.png
  42.93542,       2400,          2,          0, (null)
  42.94839,       2400,          3,          0, /master/1kb-sample-file-3.jpg
  43.20179,       3673,          3,          0, (null)
  43.21342,       3673,          4,          0, /master/1kb-sample-file-4.png
  43.43782,       7769,          4,          0, (null)
  43.43926,      11865,          4,          0, (null)
  43.43927,      15961,          4,          0, (null)
  43.43928,      19306,          4,          0, (null)
  43.46128,      23402,          4,          0, (null)
  43.46130,      26407,          4,          0, (null)
  43.49905,      30503,          4,          0, (null)
  43.49908,      34599,          4,          0, (null)
  43.49910,      38695,          4,          0, (null)
  43.49910,      42791,          4,          0, (null)
  43.49910,      46887,          4,          0, (null)
  43.49911,      50983,          4,          0, (null)
  43.49911,      55079,          4,          0, (null)
  43.49912,      59175,          4,          0, (null)
  43.49913,      63271,          4,          0, (null)
  43.49914,      64103,          4,          0, (null)
  43.50970,      68199,          4,          0, (null)
  43.50972,      69209,          4,          0, (null)
  43.51213,      73305,          4,          0, (null)
  43.51214,      77401,          4,          0, (null)
  43.51215,      81497,          4,          0, (null)
  43.51217,      85584,          4,          0, (null)
  43.52430,      89680,          4,          0, (null)
  43.52432,      93776,          4,          0, (null)
  43.52432,      97872,          4,          0, (null)
  43.52433,     101959,          4,          0, (null)
  43.53113,     106055,          4,          0, (null)
  43.53114,     110151,          4,          0, (null)
  43.53115,     114247,          4,          0, (null)
  43.53116,     118343,          4,          0, (null)
  43.53116,     122439,          4,          0, (null)
  43.53117,     126535,          4,          0, (null)
  43.53117,     130631,          4,          0, (null)
  43.53118,     134727,          4,          0, (null)
  43.53119,     134745,          4,          0, (null)
  43.53337,     138841,          4,          0, (null)
  43.53339,     142937,          4,          0, (null)
  43.53340,     147033,          4,          0, (null)
  43.53341,     151120,          4,          0, (null)
  43.53691,     155216,          4,          0, (null)
  43.53693,     159312,          4,          0, (null)
  43.53694,     163408,          4,          0, (null)
  43.53695,     167495,          4,          0, (null)
  43.53981,     171591,          4,          0, (null)
  43.53983,     175687,          4,          0, (null)
  43.53983,     179783,          4,          0, (null)
  43.53984,     183879,          4,          0, (null)
  43.53984,     187975,          4,          0, (null)
  43.53985,     192071,          4,          0, (null)
  43.53986,     196167,          4,          0, (null)
  43.53987,     200263,          4,          0, (null)
  43.53987,     204359,          4,          0, (null)
  43.53988,     208455,          4,          0, (null)
  43.53988,     212551,          4,          0, (null)
  43.53989,     216647,          4,          0, (null)
  43.53989,     216656,          4,          0, (null)
  43.54248,     220752,          4,          0, (null)
  43.54250,     224848,          4,          0, (null)
  43.54250,     228944,          4,          0, (null)
  43.54251,     233031,          4,          0, (null)
  43.54342,     236847,          4,          0, (null)
  43.55543,     236847,          5,          0, /master/paraglider.jpg
  43.77849,     240943,          5,          0, (null)
  43.77853,     245039,          5,          0, (null)
  43.77854,     249135,          5,          0, (null)
  43.77855,     252480,          5,          0, (null)
  43.80386,     256576,          5,          0, (null)
  43.80388,     259581,          5,          0, (null)
  43.84720,     263677,          5,          0, (null)
  43.84724,     267773,          5,          0, (null)
